target_id	length	eff_length	est_counts	tpm
ACTB	72	186.365	64326	70961.3
ALS2	69	70	539	1583.03
ANXA11	65	66	34	105.909
ATP13A2	74	75	5718	15674.1
ATP6V0A1	54	55	8517	31836.3
C1orf43	66	67	6088	18681
C9orf72	56	57	1991	7181.18
CALCOCO2	54	55	135	504.627
CHMP2B	60	61	1162	3916.3
CLN5	74	75	626	1715.98
CRLS1	61	62	1455	4824.7
CTSB	74	75	4529	12414.8
CTSD	75	76	713	1928.75
CTSL	58	59	675	2352.07
DCTN1	76	77	13658	36466.6
FUS	83	649.56	19590	6200.32
FYN	59	60	5863	20089.4
GALC	55	56	1147	4210.9
GBA	66	67	1557	4777.64
GCH1	56	57	342	1233.53
GRN	65	66	8	24.9198
GSTO1	56	57	252	908.918
GUSB	59	60	448	1535.06
HMBS	62	63	443	1445.65
HMOX1	66	67	35	107.397
HNRNPA2B1	50	51	27470	110736
KIF5A	62	63	17853	58259.9
LRRK2	53	54	130	494.936
MAPT	69	70	19866	58346.1
MCCC1	57	58	666	2360.73
NAGLU	70	71	157	454.612
NBR1	61	62	2139	7092.81
NEU1	70	71	1416	4100.19
NQO1	84	85	37	89.4916
OPTN	64	65	2257	7138.67
OXR1	72	73	2554	7192.79
PARK2	55	56	105	385.479
PARK7	62	63	8016	26158.7
PFN1	77	78	9915	26133.5
PINK1	67	68	2048	6191.85
PSAP	71	72	22624	64600.5
PSMB4	64	65	2792	8830.83
SCARB2	63	64	11856	38085.3
SETX	60	61	1203	4054.48
SNCA	58	59	9764	34023.2
SOD1	62	63	4646	15161.4
SQSTM1	66	67	2713	8324.81
STX17	57	58	707	2506.06
TARDBP	60	61	7159	24128
TAX1BP1	63	64	2809	9023.42
TBK1	59	60	548	1877.71
TMEM106B	54	55	1151	4302.41
TMEM175	70	649.56	2546	805.82
VAPB	64	65	3749	11857.7
VCP	70	87.1912	8598	20273.3
VPS13C	54	55	2099	7846.01
VPS35	68	69	6544	19498.2
CLN8	63	64	237	761.321
CHCHD10	72	73	1381	3889.29
CHCHD2	65	66	4	12.4599
GAPDH	81	82	61552	154322
