target_id	length	eff_length	est_counts	tpm
ACTB	72	88.5466	118171	114674
ALS2	69	70	739	907.138
ANXA11	65	66	35	45.5671
ATP13A2	74	75	10609	12154.6
ATP6V0A1	54	55	12629	19730.3
C1orf43	66	67	8621	11056.3
C9orf72	56	57	2480	3738.56
CALCOCO2	54	55	216	337.457
CHMP2B	60	61	1363	1919.96
CLN5	74	75	696	797.398
CRLS1	61	62	1751	2426.73
CTSB	74	75	8431	9659.29
CTSD	75	76	1678	1897.17
CTSL	58	59	909	1323.85
DCTN1	76	574.373	19165	2867.09
FUS	83	713.89	30393	3658.22
FYN	59	60	7287	10435.8
GALC	55	56	1579	2422.82
GBA	66	67	2068	2652.18
GCH1	56	57	572	862.28
GRN	65	66	2218	2887.65
GSTO1	56	57	298	449.23
GUSB	59	60	531	760.45
HMBS	62	63	566	771.975
HMOX1	66	67	62	79.5141
HNRNPA2B1	50	51	33759	56878.3
KIF5A	62	63	27037	36876.1
LRRK2	53	54	260	413.72
MAPT	69	70	34263	42058.6
MCCC1	57	58	852	1262.23
NAGLU	70	71	285	344.916
NBR1	61	62	2747	3807.1
NEU1	70	71	1991	2409.57
NQO1	84	574.373	56	8.37763
OPTN	64	65	2822	3730.53
OXR1	72	73	3391	3991.46
PARK2	55	56	113	173.387
PARK7	62	63	11584	15799.6
PFN1	77	78	17571	19356.6
PINK1	67	68	3555	4492.19
PSAP	71	72	39992	47727.4
PSMB4	64	65	4700	6213.15
SCARB2	63	64	13710	18407.1
SETX	60	61	1420	2000.26
SNCA	58	59	13112	19096.1
SOD1	62	63	6182	8431.71
SQSTM1	66	67	4327	5549.31
STX17	57	58	827	1225.19
TARDBP	60	61	9397	13236.9
TAX1BP1	63	64	3945	5296.56
TBK1	59	60	737	1055.46
TMEM106B	54	55	1289	2013.81
TMEM175	70	713.89	2822	339.667
VAPB	64	65	5228	6911.14
VCP	70	71	13877	16794.4
VPS13C	54	55	2511	3922.94
VPS35	68	69	9248	11516.6
CLN8	63	64	293	393.382
CHCHD10	72	73	2210	2601.34
CHCHD2	65	66	8	10.4153
GAPDH	135	27.8315	138350	427139
