target_id	length	eff_length	est_counts	tpm
ACTB	72	334.399	46077	42931.8
ALS2	69	70	508	2261.13
ANXA11	65	66	44	207.715
ATP13A2	74	75	2270	9430.27
ATP6V0A1	54	55	7188	40719.7
C1orf43	66	67	4598	21382.3
C9orf72	56	57	1916	10473.2
CALCOCO2	54	55	161	912.059
CHMP2B	60	61	973	4969.84
CLN5	74	75	524	2176.86
CRLS1	61	62	1445	7261.66
CTSB	74	75	1986	8250.45
CTSD	75	76	221	906.021
CTSL	58	59	739	3902.58
DCTN1	76	77	6526	26406.8
FUS	83	84	13052	48412.5
FYN	59	60	6336	32902.1
GALC	55	56	1457	8106.46
GBA	66	67	1383	6431.42
GCH1	56	57	450	2459.79
GRN	65	66	1366	6448.61
GSTO1	56	57	319	1743.71
GUSB	59	60	432	2243.32
HMBS	62	63	448	2215.63
HMOX1	66	67	43	199.965
HNRNPA2B1	50	51	24907	152164
KIF5A	62	63	15279	75563.8
LRRK2	53	54	156	900.099
MAPT	69	70	3794	16887.2
MCCC1	57	58	694	3728.13
NAGLU	70	71	79	346.68
NBR1	61	62	2472	12422.7
NEU1	70	71	1420	6231.46
NQO1	84	85	25	91.6391
OPTN	64	65	1296	6212.28
OXR1	72	73	2576	10994.7
PARK2	55	56	169	940.282
PARK7	62	63	3448	17052.4
PFN1	77	78	2958	11815.8
PINK1	67	68	925	4238.31
PSAP	71	72	7386	31962.2
PSMB4	64	65	2280	10929
SCARB2	63	64	9881	48103.9
SETX	60	61	1448	7396.02
SNCA	58	59	9132	48225.1
SOD1	62	63	4974	24599.4
SQSTM1	66	67	2950	13718.5
STX17	57	58	531	2852.5
TARDBP	60	61	7563	38629.9
TAX1BP1	63	64	2833	13792
TBK1	59	60	561	2913.21
TMEM106B	54	55	1420	8044.24
TMEM175	70	71	1987	8719.65
VAPB	64	65	3304	15837.5
VCP	70	71	7695	33768.3
VPS13C	54	55	2166	12270.3
VPS35	68	69	5258	23742.7
CLN8	63	64	225	1095.37
CHCHD10	72	73	1137	4852.85
CHCHD2	65	66	0	0
GAPDH	135	28.066	3207	35602.3
