target_id	length	eff_length	est_counts	tpm
ACTB	72	324.214	82041	9114.32
ALS2	69	70	476	244.925
ANXA11	65	66	33	18.0092
ATP13A2	74	75	6996	3359.8
ATP6V0A1	54	55	9965	6525.88
C1orf43	66	67	6205	3335.74
C9orf72	56	57	2043	1290.98
CALCOCO2	54	55	130	85.1345
CHMP2B	60	61	1167	689.074
CLN5	74	75	511	245.406
CRLS1	61	62	1371	796.472
CTSB	74	75	5567	2673.53
CTSD	75	76	1046	495.727
CTSL	58	59	660	402.918
DCTN1	76	77	14630	6843.5
FUS	83	6.5	22782	126242
FYN	59	60	5849	3511.2
GALC	55	56	1232	792.405
GBA	66	67	1294	695.64
GCH1	56	57	371	234.436
GRN	65	66	1357	740.561
GSTO1	56	57	260	164.295
GUSB	59	60	371	222.714
HMBS	62	63	432	246.984
HMOX1	66	67	71	38.1688
HNRNPA2B1	50	51	26718	18869.4
KIF5A	62	63	19405	11094.2
LRRK2	53	54	131	87.378
MAPT	69	70	23306	11992.1
MCCC1	57	324.214	765	84.9875
NAGLU	70	71	200	101.46
NBR1	61	62	2306	1339.65
NEU1	70	71	1496	758.924
NQO1	84	7.5	56	268.938
OPTN	64	65	2194	1215.76
OXR1	72	73	2820	1391.4
PARK2	55	56	134	86.187
PARK7	62	63	9251	5288.99
PFN1	77	1	15416	555260
PINK1	67	68	2199	1164.77
PSAP	71	72	26015	13014.2
PSMB4	64	65	3143	1741.63
SCARB2	63	64	11739	6606.57
SETX	60	61	1149	678.446
SNCA	58	324.214	9549	1060.84
SOD1	62	63	4081	2333.19
SQSTM1	66	67	3083	1657.39
STX17	57	58	561	348.385
TARDBP	60	61	7393	4365.32
TAX1BP1	63	64	2918	1642.22
TBK1	59	60	545	327.167
TMEM106B	54	55	1014	664.049
TMEM175	70	71	2850	1445.81
VAPB	64	65	3541	1962.17
VCP	70	71	8964	4547.45
VPS13C	54	55	2267	1484.61
VPS35	68	69	6769	3533.46
CLN8	63	64	237	133.381
CHCHD10	72	73	1691	834.345
CHCHD2	65	66	2	1.09147
GAPDH	135	27.7184	133599	173604
