target_id	length	eff_length	est_counts	tpm
ACTB	72	90.0297	118172	157588
ALS2	69	70	739	1267.48
ANXA11	65	66	35	63.6675
ATP13A2	74	75	10609	16982.7
ATP6V0A1	54	55	12629	27567.7
C1orf43	66	67	8621	15448.2
C9orf72	56	57	2480	5223.61
CALCOCO2	54	55	216	471.503
CHMP2B	60	61	1363	2682.62
CLN5	74	75	696	1114.15
CRLS1	61	62	1751	3390.69
CTSB	74	75	8431	13496.2
CTSD	75	76	1678	2650.77
CTSL	58	59	909	1849.72
DCTN1	76	583.998	19165	3939.95
FUS	83	725.853	30393	5027.11
FYN	59	60	7287	14581.1
GALC	55	56	1579	3385.23
GBA	66	67	2068	3705.69
GCH1	56	57	572	1204.8
GRN	65	66	2218	4034.7
GSTO1	56	57	298	627.676
GUSB	59	60	531	1062.52
HMBS	62	63	566	1078.62
HMOX1	66	67	62	111.099
HNRNPA2B1	50	51	33759	79471.8
KIF5A	62	63	27037	51524.3
LRRK2	53	54	260	578.061
MAPT	69	70	34263	58765.3
MCCC1	57	58	852	1763.62
NAGLU	70	71	285	481.926
NBR1	61	62	2747	5319.38
NEU1	70	71	1991	3366.72
NQO1	84	583.998	56	11.5125
OPTN	64	65	2822	5212.4
OXR1	72	73	3391	5576.98
PARK2	55	56	113	242.261
PARK7	62	63	11584	22075.6
PFN1	77	78	17571	27045.5
PINK1	67	68	3555	6276.6
PSAP	71	72	39992	66686
PSMB4	64	65	4700	8681.17
SCARB2	63	64	13710	25718.8
SETX	60	61	1420	2794.81
SNCA	58	59	13112	26681.5
SOD1	62	63	6183	11782.9
SQSTM1	66	67	4327	7753.64
STX17	57	58	827	1711.87
TARDBP	60	61	9397	18495
TAX1BP1	63	64	3945	7400.5
TBK1	59	60	737	1474.72
TMEM106B	54	55	1289	2813.74
TMEM175	70	725.853	2822	466.769
VAPB	64	65	5228	9656.42
VCP	70	71	13877	23465.6
VPS13C	54	55	2511	5481.23
VPS35	68	69	9248	16091.4
CLN8	63	64	293	549.644
CHCHD10	72	73	2210	3634.65
CHCHD2	65	66	8	14.5526
GAPDH	81	82	138224	202378
