target_id	length	eff_length	est_counts	tpm
ACTB	72	73	77881	139460
ALS2	69	70	564	1053.23
ANXA11	65	66	27	53.4763
ATP13A2	74	75	5185	9037.11
ATP6V0A1	54	55	8047	19125.5
C1orf43	66	67	6250	12194
C9orf72	56	57	1887	4327.52
CALCOCO2	54	55	138	327.988
CHMP2B	60	61	1226	2627.26
CLN5	74	75	612	1066.67
CRLS1	61	62	1461	3080.35
CTSB	74	75	4187	7297.66
CTSD	75	76	749	1288.28
CTSL	58	59	641	1420.19
DCTN1	76	77	12610	21407.5
FUS	83	84	19886	30946.4
FYN	59	60	6157	13414
GALC	55	56	1158	2703.1
GBA	66	67	1397	2725.61
GCH1	56	57	457	1048.05
GRN	65	66	1778	3521.52
GSTO1	56	57	247	566.453
GUSB	59	60	379	825.714
HMBS	62	63	470	975.212
HMOX1	66	67	37	72.1886
HNRNPA2B1	50	51	23264	59628.8
KIF5A	62	63	17086	35452.1
LRRK2	53	54	136	329.221
MAPT	69	70	15326	28620.2
MCCC1	57	58	699	1575.4
NAGLU	70	71	149	274.328
NBR1	61	62	2151	4535.14
NEU1	70	71	1518	2794.83
NQO1	84	85	32	49.2122
OPTN	64	65	1988	3998.02
OXR1	72	73	2824	5056.89
PARK2	55	56	117	273.111
PARK7	62	63	8689	18029
PFN1	77	78	10382	17399.2
PINK1	67	68	1921	3692.84
PSAP	71	72	18976	34452
PSMB4	64	65	3221	6477.68
SCARB2	63	64	10462	21368.6
SETX	60	61	1239	2655.11
SNCA	58	59	9488	21021.5
SOD1	62	63	4838	10038.5
SQSTM1	66	67	3283	6405.28
STX17	57	58	562	1266.63
TARDBP	60	61	7720	16543.6
TAX1BP1	63	64	2785	5688.36
TBK1	59	60	536	1167.76
TMEM106B	54	55	1062	2524.08
TMEM175	70	71	2187	4026.54
VAPB	64	65	3659	7358.53
VCP	70	71	9360	17232.9
VPS13C	54	55	1848	4392.19
VPS35	68	69	6292	11920.1
CLN8	63	64	238	486.115
CHCHD10	72	73	1384	2478.31
CHCHD2	65	66	1	1.98061
GAPDH	135	27.8027	76615	360221
