target_id	length	eff_length	est_counts	tpm
ACTB	72	218.704	81819	66651.6
ALS2	69	70	512	1303.12
ANXA11	65	66	29	78.2831
ATP13A2	74	75	6835	16236.4
ATP6V0A1	54	55	9285	30076.9
C1orf43	66	67	6550	17417.3
C9orf72	56	57	1835	5735.55
CALCOCO2	54	55	167	540.963
CHMP2B	60	61	1166	3405.51
CLN5	74	75	557	1323.15
CRLS1	61	62	1488	4275.87
CTSB	74	75	5780	13730.3
CTSD	75	76	1021	2393.46
CTSL	58	59	742	2240.61
DCTN1	76	77	14867	34399
FUS	83	491.605	21391	7752.26
FYN	59	60	5981	17759.7
GALC	55	56	1311	4170.89
GBA	66	67	1485	3948.8
GCH1	56	57	402	1256.51
GRN	65	66	1749	4721.28
GSTO1	56	57	285	890.807
GUSB	59	60	426	1264.95
HMBS	62	63	451	1275.41
HMOX1	66	67	52	138.275
HNRNPA2B1	50	51	24840	86775.1
KIF5A	62	63	18550	52458.6
LRRK2	53	54	145	478.396
MAPT	69	70	23561	59966.6
MCCC1	57	218.704	650	529.504
NAGLU	70	71	193	484.298
NBR1	61	62	2220	6379.33
NEU1	70	71	1527	3831.73
NQO1	84	85	44	92.2247
OPTN	64	65	2382	6528.93
OXR1	72	73	2745	6699.36
PARK2	55	56	115	365.867
PARK7	62	63	8769	24798.4
PFN1	77	78	14450	33005.5
PINK1	67	68	2358	6178.01
PSAP	71	72	28063	69440.9
PSMB4	64	65	3485	9552.19
SCARB2	63	64	10986	30582.5
SETX	60	61	1103	3221.51
SNCA	58	218.704	9763	7953.16
SOD1	62	63	5104	14433.9
SQSTM1	66	67	3239	8612.91
STX17	57	58	639	1962.85
TARDBP	60	61	7125	20809.8
TAX1BP1	63	64	2908	8095.21
TBK1	59	60	545	1618.3
TMEM106B	54	55	1133	3670.13
TMEM175	70	491.605	2411	873.765
VAPB	64	65	3716	10185.4
VCP	70	71	9620	24139.6
VPS13C	54	55	1856	6012.14
VPS35	68	69	6539	16884
CLN8	63	64	237	659.754
CHCHD10	72	73	1545	3770.68
CHCHD2	65	66	3	8.09825
GAPDH	81	82	103997	225954
