target_id	length	eff_length	est_counts	tpm
ACTB	72	73	78617	126994
ALS2	69	70	682	1148.89
ANXA11	65	66	69	123.281
ATP13A2	74	75	922	1449.64
ATP6V0A1	54	55	12617	27051
C1orf43	66	67	7173	12624.6
C9orf72	56	57	2887	5972.58
CALCOCO2	54	55	208	445.955
CHMP2B	60	61	1559	3013.75
CLN5	74	75	946	1487.37
CRLS1	61	62	2028	3857.15
CTSB	74	75	6138	9650.64
CTSD	75	76	964	1495.73
CTSL	58	59	1127	2252.49
DCTN1	76	77	15845	24265.6
FUS	83	84	24718	34699.6
FYN	59	60	7370	14484.6
GALC	55	56	1760	3706.08
GBA	66	67	2147	3778.75
GCH1	56	57	488	1009.57
GRN	65	66	2026	3619.81
GSTO1	56	57	492	1017.84
GUSB	59	60	489	961.054
HMBS	62	63	627	1173.59
HMOX1	66	67	53	93.2806
HNRNPA2B1	50	623.193	35325	6684.21
KIF5A	62	63	23848	44637.7
LRRK2	53	54	189	412.723
MAPT	69	70	17543	29552.6
MCCC1	57	58	911	1852.17
NAGLU	70	71	178	295.632
NBR1	61	62	2824	5371.1
NEU1	70	71	2048	3401.43
NQO1	84	85	44	61.0413
OPTN	64	65	2383	4323.16
OXR1	72	73	4113	6643.95
PARK2	55	56	146	307.436
PARK7	62	63	10345	19363.3
PFN1	77	78	14653	22152.5
PINK1	67	68	2119	3674.62
PSAP	71	72	23816	39005.6
PSMB4	64	65	3613	6554.58
SCARB2	63	64	15376	28330.5
SETX	60	61	1595	3083.34
SNCA	58	59	11183	22351
SOD1	62	63	6209	11621.7
SQSTM1	66	67	3800	6688.04
STX17	57	58	792	1610.23
TARDBP	60	61	9630	18616
TAX1BP1	63	64	4000	7370.05
TBK1	59	60	808	1588
TMEM106B	54	55	1556	3336.09
TMEM175	70	71	3161	5249.97
VAPB	64	65	4272	7750.12
VCP	70	71	11433	18988.6
VPS13C	54	55	2698	5784.55
VPS35	68	69	7581	12955.9
CLN8	63	64	336	619.084
CHCHD10	72	73	1831	2957.71
CHCHD2	65	623.193	8	1.51376
GAPDH	135	27.5448	84191	360427
