target_id	length	eff_length	est_counts	tpm
ACTB	72	200.071	105335	61740.8
ALS2	69	70	599	1003.49
ANXA11	65	66	42	74.6257
ATP13A2	74	75	6839	10693.4
ATP6V0A1	54	55	10912	23266.2
C1orf43	66	67	7710	13494.7
C9orf72	56	57	2367	4869.75
CALCOCO2	54	55	200	426.433
CHMP2B	60	61	1227	2358.84
CLN5	74	75	711	1111.71
CRLS1	61	62	1688	3192.74
CTSB	74	75	5540	8662.27
CTSD	75	76	948	1462.78
CTSL	58	59	804	1598.04
DCTN1	76	77	17616	26828.7
FUS	83	447.639	25275	6621.35
FYN	59	60	7062	13802.6
GALC	55	56	1460	3057.37
GBA	66	67	1641	2872.21
GCH1	56	57	496	1020.45
GRN	65	66	2023	3594.47
GSTO1	56	57	279	574.001
GUSB	59	60	457	893.199
HMBS	62	63	547	1018.19
HMOX1	66	67	53	92.765
HNRNPA2B1	50	51	30597	70354.5
KIF5A	62	63	22631	42125.6
LRRK2	53	54	147	319.232
MAPT	69	70	20295	33999.6
MCCC1	57	93.1287	905	1139.59
NAGLU	70	71	200	330.335
NBR1	61	62	2463	4658.6
NEU1	70	71	1747	2885.48
NQO1	84	85	46	63.4632
OPTN	64	65	2552	4604.16
OXR1	72	73	3498	5619.27
PARK2	55	56	117	245.008
PARK7	62	63	9945	18511.7
PFN1	77	78	14198	21346
PINK1	67	68	2323	4006.12
PSAP	71	72	26294	42826
PSMB4	64	65	3450	6224.28
SCARB2	63	64	12775	23408
SETX	60	61	1410	2710.64
SNCA	58	93.1287	11707	14741.6
SOD1	62	63	5088	9470.87
SQSTM1	66	67	3730	6528.56
STX17	57	58	665	1344.55
TARDBP	60	61	8978	17259.7
TAX1BP1	63	64	3435	6294.05
TBK1	59	60	633	1237.19
TMEM106B	54	55	1281	2731.3
TMEM175	70	447.639	3112	815.258
VAPB	64	65	4189	7557.53
VCP	70	71	11570	19109.9
VPS13C	54	55	2386	5087.34
VPS35	68	69	8536	14507.4
CLN8	63	64	339	621.159
CHCHD10	72	73	1848	2968.67
CHCHD2	65	66	2	3.55361
GAPDH	135	27.7381	96982	410013
